agg_code,dig_code,dig_desc,count
48,481000,Air transportation,1
48,482000,Rail transportation,1
48,483000,Water transportation,1
48,484000,Truck transportation,1
48,485000,Transit and ground passenger transportation,1
48,486000,Pipeline transportation,1
48,48A000,Scenic and sightseeing transportation and support activities for transportation,1
49,491000,Postal service,1
49,492000,Couriers and messengers,1
49,493000,Warehousing and storage,1
4X,4A0000,Other retail,1
51,511110,Newspaper publishers,1
51,511120,Periodical Publishers,1
51,511130,Book publishers,1
51,5111A0,"Directory, mailing list, and other publishers",1
51,511200,Software publishers,1
51,512100,Motion picture and video industries,1
51,512200,Sound recording industries,1
51,515100,Radio and television broadcasting,1
51,515200,Cable and other subscription programming,1
51,517110,Wired telecommunications carriers,1
51,517210,Wireless telecommunications carriers (except satellite),1
51,517A00,"Satellite, telecommunications resellers, and all other telecommunications",1
51,518200,"Data processing, hosting, and related services",1
51,519130,Internet publishing and broadcasting and Web search portals,1
51,5191A0,"News syndicates, libraries, archives and all other information services",1
52,522A00,Nondepository credit intermediation and related activities,1
52,523900,Other financial investment activities,1
52,523A00,Securities and commodity contracts intermediation and brokerage,1
52,524100,Insurance carriers,1
