dig_code,dig_desc,sig_code,sig_desc
621900,Other ambulatory health care services,6210,Ambulatory health care services
622000,Hospitals,622H,Hospitals
623A00,Nursing and community care facilities,6230,Nursing and residential care facilities
623B00,"Residential mental retardation, mental health, substance abuse and other facilities",6230,Nursing and residential care facilities
624100,Individual and family services,6240,Social assistance
624A00,"Community food, housing, and other relief services, including rehabilitation services",6240,Social assistance
624400,Child day care services,6240,Social assistance
711100,Performing arts companies,711A,"Performing arts, spectator sports, museums, and related activities"
711200,Spectator sports,711A,"Performing arts, spectator sports, museums, and related activities"
711A00,Promoters of performing arts and sports and agents for public figures,711A,"Performing arts, spectator sports, museums, and related activities"
711500,"Independent artists, writers, and performers",711A,"Performing arts, spectator sports, museums, and related activities"
712000,"Museums, historical sites, zoos, and parks",711A,"Performing arts, spectator sports, museums, and related activities"
713100,Amusement parks and arcades,7130,"Amusements, gambling, and recreation industries"
713200,Gambling industries (except casino hotels),7130,"Amusements, gambling, and recreation industries"
713900,Other amusement and recreation industries,7130,"Amusements, gambling, and recreation industries"
721000,Accommodation,7210,Accommodation
722110,Full-service restaurants,7220,Food services and drinking places
722211,Limited-service restaurants,7220,Food services and drinking places
722A00,All other food and drinking places,7220,Food services and drinking places
811100,Automotive repair and maintenance,8100,"Other services, except government"
811200,Electronic and precision equipment repair and maintenance,8100,"Other services, except government"
811300,Commercial and industrial machinery and equipment repair and maintenance,8100,"Other services, except government"
811400,Personal and household goods repair and maintenance,8100,"Other services, except government"
812100,Personal care services,8100,"Other services, except government"
812200,Death care services,8100,"Other services, except government"
812300,Dry-cleaning and laundry services,8100,"Other services, except government"
812900,Other personal services,8100,"Other services, except government"
813100,Religious organizations,8100,"Other services, except government"
813A00,"Grantmaking, giving, and social advocacy organizations",8100,"Other services, except government"
813B00,"Civic, social, professional, and similar organizations",8100,"Other services, except government"
814000,Private households,8100,"Other services, except government"
